Date,Trade Volume,Trade Value,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Transaction,title
2020/03/04,"44,745,146","14,304,795,666",322.00,322.00,317.00,320.50,+3.00,"16,118",2020/03  Daily Trading Value/Volume of 2330 
2020/03/05,"38,223,525","12,392,618,100",325.00,326.00,323.00,323.00,+2.50,"15,107",2020/03  Daily Trading Value/Volume of 2330 
2020/03/06,"52,807,760","16,733,485,610",320.00,320.50,315.00,315.00,-8.00,"24,175",2020/03  Daily Trading Value/Volume of 2330 
2020/03/09,"88,633,277","27,236,002,054",307.50,310.00,305.50,305.50,-9.50,"44,882",2020/03  Daily Trading Value/Volume of 2330 
2020/03/10,"74,869,130","22,727,941,511",301.50,309.00,301.00,307.00,+1.50,"30,268",2020/03  Daily Trading Value/Volume of 2330 
2020/03/11,"64,923,710","19,913,151,529",309.00,310.50,302.00,302.00,-5.00,"27,176",2020/03  Daily Trading Value/Volume of 2330 
2020/03/12,"114,173,351","33,544,278,206",299.00,299.00,287.00,294.00,-8.00,"56,989",2020/03  Daily Trading Value/Volume of 2330 
2020/03/13,"151,268,148","42,448,997,546",275.00,294.00,272.50,290.00,-4.00,"71,990",2020/03  Daily Trading Value/Volume of 2330 
2020/03/16,"103,933,228","29,343,288,916",285.00,291.00,275.50,276.50,-13.50,"51,292",2020/03  Daily Trading Value/Volume of 2330 
2020/03/17,"122,409,651","32,936,712,540",265.00,276.50,265.00,268.00,-8.50,"57,123",2020/03  Daily Trading Value/Volume of 2330 
2020/03/18,"118,620,643","31,555,231,792",269.50,272.50,260.00,260.00,-8.00,"53,985",2020/03  Daily Trading Value/Volume of 2330 
2020/03/19,"160,811,697","39,559,889,553",252.00,253.00,235.50,248.00,X0.00,"77,302",2020/03  Daily Trading Value/Volume of 2330 
2020/03/20,"159,179,726","42,110,816,042",258.50,270.00,256.00,270.00,+22.00,"69,829",2020/03  Daily Trading Value/Volume of 2330 
2020/03/23,"76,963,709","19,851,467,203",257.00,262.50,252.00,255.00,-15.00,"41,621",2020/03  Daily Trading Value/Volume of 2330 
2020/03/24,"82,377,933","22,207,033,614",268.00,274.00,266.00,267.50,+12.50,"41,077",2020/03  Daily Trading Value/Volume of 2330 
2020/03/25,"80,514,199","22,368,633,590",276.50,280.00,274.00,277.00,+9.50,"40,932",2020/03  Daily Trading Value/Volume of 2330 
2020/03/26,"54,189,633","15,108,299,935",279.50,280.00,275.50,280.00,+3.00,"27,648",2020/03  Daily Trading Value/Volume of 2330 
2020/03/27,"69,320,306","19,324,060,590",284.00,286.00,273.00,273.00,-7.00,"36,025",2020/03  Daily Trading Value/Volume of 2330 
2020/03/30,"53,403,956","14,205,364,184",263.50,269.00,262.50,267.50,-5.50,"27,779",2020/03  Daily Trading Value/Volume of 2330 
2020/03/31,"53,901,923","14,712,557,472",273.00,274.00,269.50,274.00,+6.50,"20,343",2020/03  Daily Trading Value/Volume of 2330 
2020/04/01,"47,572,034","13,022,612,818",276.50,276.50,271.50,271.50,-2.50,"19,580",2020/04  Daily Trading Value/Volume of 2330 
2020/04/06,"59,712,754","16,324,198,154",273.00,275.50,270.00,275.50,+4.00,"19,971",2020/04  Daily Trading Value/Volume of 2330 
2020/04/07,"48,887,346","13,817,936,851",283.50,284.00,280.50,283.00,+7.50,"24,281",2020/04  Daily Trading Value/Volume of 2330 
2020/04/08,"38,698,826","11,016,972,354",285.00,285.50,283.00,285.00,+2.00,"19,126",2020/04  Daily Trading Value/Volume of 2330 
2020/04/09,"29,276,430","8,346,209,654",287.50,288.00,282.50,283.00,-2.00,"15,271",2020/04  Daily Trading Value/Volume of 2330 
2020/04/10,"28,206,858","7,894,277,586",280.00,282.00,279.00,279.50,-3.50,"15,833",2020/04  Daily Trading Value/Volume of 2330 
2020/04/13,"22,196,596","6,202,532,380",278.50,281.50,278.50,278.50,-1.00,"12,809",2020/04  Daily Trading Value/Volume of 2330 
2020/04/14,"50,196,688","14,268,689,661",281.00,285.50,280.00,285.00,+6.50,"22,214",2020/04  Daily Trading Value/Volume of 2330 
2020/04/15,"58,561,434","16,819,851,630",287.00,288.50,286.00,287.50,+2.50,"25,696",2020/04  Daily Trading Value/Volume of 2330 
2020/04/16,"48,257,280","13,813,721,932",283.00,288.50,283.00,286.50,-1.00,"19,084",2020/04  Daily Trading Value/Volume of 2330 
2020/04/17,"117,447,201","35,719,172,728",303.50,308.50,300.50,306.50,+20.00,"60,873",2020/04  Daily Trading Value/Volume of 2330 
2020/04/20,"44,586,860","13,605,802,989",308.00,309.00,302.50,304.00,-2.50,"21,791",2020/04  Daily Trading Value/Volume of 2330 
2020/04/21,"61,949,357","18,417,786,171",300.50,301.50,293.50,295.00,-9.00,"39,043",2020/04  Daily Trading Value/Volume of 2330 
2020/04/22,"43,568,580","12,746,170,556",294.50,295.00,290.50,294.00,-1.00,"25,176",2020/04  Daily Trading Value/Volume of 2330 
2020/04/23,"39,977,278","11,864,085,990",300.00,300.00,294.00,295.50,+1.50,"18,541",2020/04  Daily Trading Value/Volume of 2330 
2020/04/24,"26,465,090","7,799,075,756",295.50,297.00,294.00,294.00,-1.50,"13,661",2020/04  Daily Trading Value/Volume of 2330 
2020/04/27,"38,493,406","11,461,378,300",298.00,298.50,296.00,298.00,+4.00,"15,916",2020/04  Daily Trading Value/Volume of 2330 
2020/04/28,"37,621,165","11,134,919,970",298.50,298.50,294.50,296.50,-1.50,"18,214",2020/04  Daily Trading Value/Volume of 2330 
2020/04/29,"46,253,301","13,861,245,296",299.00,301.50,298.00,299.00,+2.50,"21,633",2020/04  Daily Trading Value/Volume of 2330 
2020/04/30,"58,439,085","17,753,466,901",302.00,305.00,301.50,304.50,+5.50,"26,219",2020/04  Daily Trading Value/Volume of 2330 
2020/05/04,"72,252,861","21,341,931,218",294.50,296.50,294.00,295.00,-9.50,"37,736",2020/05  Daily Trading Value/Volume of 2330 
2020/05/05,"23,988,405","7,104,774,785",296.50,298.00,295.00,295.50,+0.50,"13,569",2020/05  Daily Trading Value/Volume of 2330 
2020/05/06,"35,704,479","10,524,838,077",294.50,296.00,292.50,296.00,+0.50,"16,046",2020/05  Daily Trading Value/Volume of 2330 
2020/05/07,"28,017,198","8,321,170,642",294.50,299.00,294.50,297.50,+1.50,"13,149",2020/05  Daily Trading Value/Volume of 2330 
2020/05/08,"35,613,893","10,619,091,212",300.00,300.00,296.00,297.50, 0.00,"14,345",2020/05  Daily Trading Value/Volume of 2330 
2020/05/11,"32,379,019","9,729,431,840",300.00,301.50,298.50,301.00,+3.50,"14,920",2020/05  Daily Trading Value/Volume of 2330 
2020/05/12,"52,494,788","15,553,012,596",297.50,298.50,295.00,295.00,-6.00,"29,073",2020/05  Daily Trading Value/Volume of 2330 
2020/05/13,"46,158,418","13,619,538,824",293.00,297.00,292.50,297.00,+2.00,"14,555",2020/05  Daily Trading Value/Volume of 2330 
2020/05/14,"34,480,948","10,119,787,160",293.00,295.00,292.50,293.00,-4.00,"21,482",2020/05  Daily Trading Value/Volume of 2330 
2020/05/15,"44,304,804","13,170,466,660",297.50,298.50,294.50,298.00,+5.00,"20,071",2020/05  Daily Trading Value/Volume of 2330 
2020/05/18,"96,872,065","28,216,346,996",291.00,293.50,290.00,290.00,-8.00,"49,640",2020/05  Daily Trading Value/Volume of 2330 
2020/05/19,"53,083,214","15,527,338,138",294.00,294.00,291.50,291.50,+1.50,"22,033",2020/05  Daily Trading Value/Volume of 2330 
2020/05/20,"36,789,994","10,772,280,152",293.00,294.00,291.00,294.00,+2.50,"16,906",2020/05  Daily Trading Value/Volume of 2330 
2020/05/21,"36,299,468","10,782,482,962",296.00,298.00,295.00,297.50,+3.50,"17,064",2020/05  Daily Trading Value/Volume of 2330 
2020/05/22,"41,138,923","12,025,339,565",294.50,295.00,291.00,292.00,-5.50,"22,345",2020/05  Daily Trading Value/Volume of 2330 
2020/05/25,"32,942,223","9,568,008,388",290.50,293.00,288.50,292.00, 0.00,"14,585",2020/05  Daily Trading Value/Volume of 2330 
2020/05/26,"35,817,481","10,609,868,646",295.00,297.50,293.50,295.50,+3.50,"19,524",2020/05  Daily Trading Value/Volume of 2330 
2020/05/27,"23,375,959","6,932,934,823",297.00,298.00,295.50,296.50,+1.00,"11,244",2020/05  Daily Trading Value/Volume of 2330 
2020/05/28,"32,395,568","9,575,118,830",298.50,298.50,293.00,294.00,-2.50,"13,208",2020/05  Daily Trading Value/Volume of 2330 
2020/05/29,"96,611,181","28,172,174,547",292.00,292.50,290.00,292.00,-2.00,"21,037",2020/05  Daily Trading Value/Volume of 2330 
2020/06/01,"37,936,214","11,205,227,094",294.00,296.50,293.50,295.50,+3.50,"15,502",2020/06  Daily Trading Value/Volume of 2330 
2020/06/02,"26,663,587","7,908,476,089",296.00,297.50,296.00,296.50,+1.00,"9,743",2020/06  Daily Trading Value/Volume of 2330 
2020/06/03,"67,894,337","20,354,971,677",300.00,301.00,298.00,301.00,+4.50,"33,062",2020/06  Daily Trading Value/Volume of 2330 
2020/06/04,"47,225,322","14,414,983,532",305.00,306.00,304.00,306.00,+5.00,"24,482",2020/06  Daily Trading Value/Volume of 2330 
2020/06/05,"44,077,262","13,655,618,646",308.50,312.00,308.00,311.50,+5.50,"24,096",2020/06  Daily Trading Value/Volume of 2330 
2020/06/08,"52,042,921","16,500,836,851",316.00,319.00,315.00,318.00,+6.50,"28,581",2020/06  Daily Trading Value/Volume of 2330 
2020/06/09,"37,068,082","11,746,874,522",316.50,319.00,314.00,319.00,+1.00,"19,981",2020/06  Daily Trading Value/Volume of 2330 
2020/06/10,"42,207,259","13,566,733,306",319.00,324.00,318.00,322.50,+3.50,"22,670",2020/06  Daily Trading Value/Volume of 2330 
2020/06/11,"50,612,255","16,340,456,218",325.50,327.00,318.50,320.50,-2.00,"27,061",2020/06  Daily Trading Value/Volume of 2330 
2020/06/12,"46,970,918","14,811,252,573",313.00,317.50,312.50,316.00,-4.50,"25,263",2020/06  Daily Trading Value/Volume of 2330 
2020/06/15,"51,032,404","15,955,585,136",316.00,317.50,308.50,309.50,-6.50,"29,255",2020/06  Daily Trading Value/Volume of 2330 
2020/06/16,"40,725,216","12,823,172,756",317.00,317.00,314.00,315.00,+5.50,"19,377",2020/06  Daily Trading Value/Volume of 2330 
2020/06/17,"34,692,968","10,922,017,056",316.50,317.00,313.50,315.00, 0.00,"16,218",2020/06  Daily Trading Value/Volume of 2330 
2020/06/18,"35,443,474","11,123,108,346",314.50,315.00,313.00,314.50,X0.00,"11,897",2020/06  Daily Trading Value/Volume of 2330 
2020/06/19,"48,130,280","15,102,300,186",314.00,314.50,312.00,314.50, 0.00,"12,915",2020/06  Daily Trading Value/Volume of 2330 
2020/06/22,"37,374,616","11,722,688,924",314.50,316.50,312.00,312.00,-2.50,"18,836",2020/06  Daily Trading Value/Volume of 2330 
2020/06/23,"41,300,084","12,981,121,544",316.00,316.50,312.50,315.00,+3.00,"15,959",2020/06  Daily Trading Value/Volume of 2330 
2020/06/24,"55,464,024","17,641,164,202",319.00,320.00,316.00,317.50,+2.50,"27,086",2020/06  Daily Trading Value/Volume of 2330 
2020/06/29,"56,672,892","17,695,228,688",314.00,315.00,310.00,312.00,-5.50,"30,558",2020/06  Daily Trading Value/Volume of 2330 
2020/06/30,"49,241,860","15,386,428,040",313.50,314.00,311.00,313.00,+1.00,"16,165",2020/06  Daily Trading Value/Volume of 2330 
2020/07/01,"29,685,342","9,400,765,756",315.00,318.00,314.00,317.50,+4.50,"15,617",2020/07  Daily Trading Value/Volume of 2330 
2020/07/02,"37,789,178","12,119,073,560",319.00,322.00,318.00,322.00,+4.50,"18,355",2020/07  Daily Trading Value/Volume of 2330 
2020/07/03,"55,656,987","18,280,314,743",327.00,330.50,326.50,329.50,+7.50,"30,235",2020/07  Daily Trading Value/Volume of 2330 
2020/07/06,"57,256,220","19,200,718,243",332.50,338.00,332.00,338.00,+8.50,"31,866",2020/07  Daily Trading Value/Volume of 2330 
2020/07/07,"59,046,323","20,143,258,406",343.50,346.00,338.00,338.50,+0.50,"32,076",2020/07  Daily Trading Value/Volume of 2330 
2020/07/08,"33,813,218","11,522,915,649",337.50,342.50,337.50,341.00,+2.50,"16,673",2020/07  Daily Trading Value/Volume of 2330 
2020/07/09,"37,410,376","12,912,747,970",346.00,347.00,343.00,345.00,+4.00,"20,205",2020/07  Daily Trading Value/Volume of 2330 
2020/07/10,"60,902,108","21,298,923,681",352.50,353.00,345.50,348.50,+3.50,"32,227",2020/07  Daily Trading Value/Volume of 2330 
2020/07/13,"49,459,523","17,425,372,488",351.00,354.50,350.50,354.50,+6.00,"23,217",2020/07  Daily Trading Value/Volume of 2330 
2020/07/14,"63,030,150","22,602,878,292",355.00,364.00,354.50,363.50,+9.00,"30,996",2020/07  Daily Trading Value/Volume of 2330 
2020/07/15,"75,105,362","27,486,789,803",366.00,370.00,361.00,363.00,-0.50,"37,607",2020/07  Daily Trading Value/Volume of 2330 
2020/07/16,"68,582,512","24,506,038,172",359.00,361.00,353.50,357.50,-5.50,"35,598",2020/07  Daily Trading Value/Volume of 2330 
2020/07/17,"66,403,485","24,244,495,853",361.00,369.00,360.00,367.00,+9.50,"36,729",2020/07  Daily Trading Value/Volume of 2330 
2020/07/20,"44,940,238","16,487,970,674",370.00,370.00,362.50,366.00,-1.00,"23,335",2020/07  Daily Trading Value/Volume of 2330 
2020/07/21,"64,440,128","24,491,627,162",372.50,387.00,371.50,383.00,+17.00,"40,266",2020/07  Daily Trading Value/Volume of 2330 
2020/07/22,"43,959,670","16,844,625,030",381.00,386.00,379.00,384.00,+1.00,"25,530",2020/07  Daily Trading Value/Volume of 2330 
2020/07/23,"45,397,282","17,302,637,512",382.00,383.00,379.00,381.50,-2.50,"22,916",2020/07  Daily Trading Value/Volume of 2330 
2020/07/24,"90,988,734","35,368,857,726",390.00,395.00,382.00,386.00,+4.50,"45,099",2020/07  Daily Trading Value/Volume of 2330 
2020/07/27,"103,315,640","43,637,877,952",420.50,424.50,416.50,424.50,+38.50,"49,294",2020/07  Daily Trading Value/Volume of 2330 
2020/07/28,"172,157,746","77,804,668,620",464.00,466.50,428.50,435.00,+10.50,"92,239",2020/07  Daily Trading Value/Volume of 2330 
2020/07/29,"88,641,166","37,649,278,004",428.00,431.50,419.50,422.00,-13.00,"53,111",2020/07  Daily Trading Value/Volume of 2330 
2020/07/30,"69,936,949","30,329,225,735",436.50,441.00,428.50,434.00,+12.00,"36,627",2020/07  Daily Trading Value/Volume of 2330 
2020/07/31,"50,484,674","21,567,922,126",426.00,432.00,425.50,425.50,-8.50,"27,653",2020/07  Daily Trading Value/Volume of 2330 
2020/08/03,"77,288,571","32,339,719,000",420.50,424.00,415.00,416.00,-9.50,"43,360",2020/08  Daily Trading Value/Volume of 2330 
2020/08/04,"41,697,445","17,600,499,460",421.50,425.50,418.50,425.50,+9.50,"22,250",2020/08  Daily Trading Value/Volume of 2330 
2020/08/05,"47,460,834","20,356,413,204",430.50,433.50,426.00,429.00,+3.50,"24,715",2020/08  Daily Trading Value/Volume of 2330 
2020/08/06,"43,443,627","18,877,761,758",437.50,438.00,431.00,435.00,+6.00,"22,414",2020/08  Daily Trading Value/Volume of 2330 
2020/08/07,"37,611,388","16,218,241,255",433.50,434.00,428.00,433.00,-2.00,"19,739",2020/08  Daily Trading Value/Volume of 2330 
2020/08/10,"36,067,500","15,674,843,876",427.50,437.50,427.50,435.50,+2.50,"21,342",2020/08  Daily Trading Value/Volume of 2330 
2020/08/11,"34,545,313","14,918,017,903",432.00,435.00,429.00,429.00,-6.50,"20,297",2020/08  Daily Trading Value/Volume of 2330 
2020/08/12,"53,980,474","22,721,731,886",422.00,423.50,419.00,419.00,-10.00,"32,761",2020/08  Daily Trading Value/Volume of 2330 
2020/08/13,"45,669,335","19,514,322,038",428.00,429.00,424.50,429.00,+10.00,"21,499",2020/08  Daily Trading Value/Volume of 2330 
2020/08/14,"24,259,947","10,332,447,763",424.00,428.00,423.00,427.00,-2.00,"12,642",2020/08  Daily Trading Value/Volume of 2330 
2020/08/17,"34,607,731","14,930,831,216",427.00,435.00,425.50,435.00,+8.00,"20,823",2020/08  Daily Trading Value/Volume of 2330 
2020/08/18,"45,504,160","19,824,413,320",440.00,440.50,432.00,433.00,-2.00,"21,119",2020/08  Daily Trading Value/Volume of 2330 
2020/08/19,"31,486,800","13,574,970,200",436.00,436.50,427.50,427.50,-5.50,"18,279",2020/08  Daily Trading Value/Volume of 2330 
2020/08/20,"75,155,235","31,353,886,930",427.00,427.50,401.00,415.00,-12.50,"45,670",2020/08  Daily Trading Value/Volume of 2330 
2020/08/21,"41,956,467","17,770,610,338",421.50,427.00,420.00,424.50,+9.50,"23,059",2020/08  Daily Trading Value/Volume of 2330 
2020/08/24,"49,199,406","21,139,093,710",427.50,434.50,425.00,428.00,+3.50,"24,672",2020/08  Daily Trading Value/Volume of 2330 
2020/08/25,"37,024,899","16,076,146,369",433.50,436.00,430.50,434.50,+6.50,"22,035",2020/08  Daily Trading Value/Volume of 2330 
2020/08/26,"41,406,340","18,169,230,108",435.50,442.00,435.00,442.00,+7.50,"25,305",2020/08  Daily Trading Value/Volume of 2330 
2020/08/27,"57,206,712","25,658,355,402",448.00,453.50,444.00,444.00,+2.00,"31,575",2020/08  Daily Trading Value/Volume of 2330 
2020/08/28,"57,039,210","24,868,453,700",440.00,440.50,431.00,435.00,-9.00,"35,253",2020/08  Daily Trading Value/Volume of 2330 
2020/08/31,"88,569,538","38,106,113,563",437.00,439.50,426.50,426.50,-8.50,"28,294",2020/08  Daily Trading Value/Volume of 2330 
2020/09/01,"50,129,577","21,681,382,412",430.00,435.00,428.00,435.00,+8.50,"17,137",2020/09  Daily Trading Value/Volume of 2330 
2020/09/02,"42,013,407","18,268,716,092",441.00,441.00,430.50,433.00,-2.00,"20,242",2020/09  Daily Trading Value/Volume of 2330 
2020/09/03,"40,683,617","17,768,951,582",439.50,439.50,433.50,436.00,+3.00,"17,810",2020/09  Daily Trading Value/Volume of 2330 
2020/09/04,"51,349,911","22,051,596,821",427.00,432.50,427.00,429.00,-7.00,"27,893",2020/09  Daily Trading Value/Volume of 2330 
2020/09/07,"39,854,584","17,060,627,028",428.00,432.50,425.00,426.00,-3.00,"20,003",2020/09  Daily Trading Value/Volume of 2330 
2020/09/08,"23,714,670","10,208,232,440",428.00,433.00,427.50,431.00,+5.00,"12,440",2020/09  Daily Trading Value/Volume of 2330 
2020/09/09,"40,727,362","17,312,991,408",425.00,428.00,423.00,427.00,-4.00,"21,740",2020/09  Daily Trading Value/Volume of 2330 
2020/09/10,"35,281,921","15,275,112,115",432.50,435.00,430.50,435.00,+8.00,"18,244",2020/09  Daily Trading Value/Volume of 2330 
2020/09/11,"34,893,469","15,171,902,036",435.50,436.50,432.50,436.50,+1.50,"14,647",2020/09  Daily Trading Value/Volume of 2330 
2020/09/14,"39,325,833","17,282,659,859",436.00,442.00,435.50,441.00,+4.50,"19,854",2020/09  Daily Trading Value/Volume of 2330 
2020/09/15,"39,661,449","17,608,049,536",440.50,447.00,439.50,445.00,+4.00,"21,845",2020/09  Daily Trading Value/Volume of 2330 
2020/09/16,"70,608,238","32,379,722,344",460.00,462.00,455.50,458.00,+13.00,"38,172",2020/09  Daily Trading Value/Volume of 2330 
2020/09/17,"44,420,506","20,006,793,320",453.00,455.00,446.50,448.50,X0.00,"26,718",2020/09  Daily Trading Value/Volume of 2330 
2020/09/18,"52,999,922","23,598,268,654",447.00,449.50,443.00,444.00,-4.50,"20,849",2020/09  Daily Trading Value/Volume of 2330 
2020/09/21,"40,193,920","17,842,486,882",443.50,450.00,440.00,440.00,-4.00,"25,834",2020/09  Daily Trading Value/Volume of 2330 
2020/09/22,"36,842,639","16,140,184,501",440.00,441.00,436.00,437.00,-3.00,"22,692",2020/09  Daily Trading Value/Volume of 2330 
2020/09/23,"47,426,963","20,592,831,368",436.00,438.50,432.00,433.50,-3.50,"27,828",2020/09  Daily Trading Value/Volume of 2330 
2020/09/24,"82,510,381","35,076,048,246",425.50,429.00,423.00,423.00,-10.50,"54,922",2020/09  Daily Trading Value/Volume of 2330 
2020/09/25,"41,263,269","17,522,224,043",427.00,428.00,421.00,424.00,+1.00,"23,290",2020/09  Daily Trading Value/Volume of 2330 
2020/09/28,"34,427,479","14,758,341,446",427.00,431.50,424.50,431.50,+7.50,"19,286",2020/09  Daily Trading Value/Volume of 2330 
2020/09/29,"42,730,502","18,419,905,574",432.50,435.00,428.00,431.00,-0.50,"18,647",2020/09  Daily Trading Value/Volume of 2330 
2020/09/30,"28,859,204","12,496,613,056",430.50,435.00,430.50,433.00,+2.00,"14,203",2020/09  Daily Trading Value/Volume of 2330 
2020/10/05,"33,238,832","14,450,407,588",438.00,438.00,431.50,432.50,-0.50,"18,148",2020/10  Daily Trading Value/Volume of 2330 
2020/10/06,"36,276,395","15,935,558,262",441.50,442.00,437.50,439.50,+7.00,"20,189",2020/10  Daily Trading Value/Volume of 2330 
2020/10/07,"44,691,239","19,693,987,093",435.00,445.00,435.00,443.00,+3.50,"24,438",2020/10  Daily Trading Value/Volume of 2330 
2020/10/08,"60,853,811","27,461,867,933",450.00,454.00,448.50,453.00,+10.00,"37,378",2020/10  Daily Trading Value/Volume of 2330 
2020/10/12,"67,645,223","31,061,721,030",458.00,462.00,457.50,460.00,+7.00,"36,118",2020/10  Daily Trading Value/Volume of 2330 
2020/10/13,"46,303,738","21,346,346,714",465.00,465.00,456.50,462.00,+2.00,"25,938",2020/10  Daily Trading Value/Volume of 2330 
2020/10/14,"52,677,241","24,157,138,176",460.50,461.00,457.00,459.00,-3.00,"22,599",2020/10  Daily Trading Value/Volume of 2330 
2020/10/15,"49,987,278","22,668,836,399",456.00,456.50,450.00,453.00,-6.00,"23,794",2020/10  Daily Trading Value/Volume of 2330 
2020/10/16,"48,274,801","21,775,749,575",451.00,456.00,448.50,449.00,-4.00,"26,602",2020/10  Daily Trading Value/Volume of 2330 
2020/10/19,"34,846,906","15,854,021,670",453.00,457.50,451.00,457.50,+8.50,"17,112",2020/10  Daily Trading Value/Volume of 2330 
2020/10/20,"26,567,638","12,065,806,730",455.50,457.00,451.00,451.00,-6.50,"12,725",2020/10  Daily Trading Value/Volume of 2330 
2020/10/21,"29,906,921","13,561,798,906",453.50,456.00,451.00,453.00,+2.00,"15,490",2020/10  Daily Trading Value/Volume of 2330 
2020/10/22,"25,285,547","11,435,937,453",450.00,455.00,449.50,455.00,+2.00,"10,354",2020/10  Daily Trading Value/Volume of 2330 
